M,K,N,Data_Type,Baseline_m,Baseline_k,Baseline_n,Baseline_GOPS,Baseline_DDR_Bytes,Opt_m,Opt_k,Opt_n,Opt_GOPS,Opt_DDR_Bytes,Throughput_Speedup,DDR_Traffic_Reduction
512,512,128,bf16,32,32,32,0.0,4325376,128,32,16,34.5942,1179648,0.0,3.67
512,512,256,bf16,32,32,32,42.759,8650752,64,64,32,66.2058,2883584,1.55,3.0
512,512,512,bf16,32,32,32,91.2223,17301504,64,16,64,130.385,5242880,1.43,3.3
512,512,1024,bf16,32,32,32,159.187,34603008,32,16,128,233.851,18350080,1.47,1.89
512,512,2048,bf16,32,32,32,314.639,69206016,16,8,256,366.134,69730304,1.16,0.99
512,512,4096,bf16,32,32,32,0.0,138412032,4,8,512,0.0,541589504,0.0,0.26
512,1024,128,bf16,32,32,32,0.0,8519680,128,32,16,67.314,2228224,0.0,3.82
512,1024,256,bf16,32,32,32,89.1878,17039360,64,64,32,123.741,5505024,1.39,3.1
512,1024,512,bf16,32,32,32,164.249,34078720,64,16,64,225.416,9961472,1.37,3.42
512,1024,1024,bf16,32,32,32,325.783,68157440,32,16,128,378.919,35651584,1.16,1.91
512,1024,2048,bf16,32,32,32,0.0,136314880,16,8,256,0.0,137363456,0.0,0.99
512,1024,4096,bf16,32,32,32,872.63,272629760,4,8,512,0.0,1078984704,0.0,0.25
512,2048,128,bf16,32,32,32,0.0,16908288,32,128,16,131.836,10616832,0.0,1.59
512,2048,256,bf16,32,32,32,167.383,33816576,32,128,32,253.577,19136512,1.51,1.77
512,2048,512,bf16,32,32,32,340.469,67633152,32,64,64,424.322,36175872,1.25,1.87
512,2048,1024,bf16,32,32,32,0.0,135266304,32,16,128,0.0,70254592,0.0,1.93
512,2048,2048,bf16,32,32,32,822.2,270532608,16,8,256,679.169,272629760,0.83,0.99
512,2048,4096,bf16,32,32,32,1220.06,541065216,4,8,512,0.0,2153775104,0.0,0.25
512,4096,128,bf16,32,32,32,0.0,33685504,32,128,16,236.434,21102592,0.0,1.6
512,4096,256,bf16,32,32,32,330.552,67371008,32,128,32,416.699,38010880,1.26,1.77
512,4096,512,bf16,32,32,32,0.0,134742016,32,64,64,0.0,71827456,0.0,1.88
512,4096,1024,bf16,32,32,32,845.966,269484032,32,16,128,808.851,139460608,0.96,1.93
512,4096,2048,bf16,32,32,32,1139.26,538968064,16,8,256,793.475,543162368,0.7,0.99
512,4096,4096,bf16,32,32,32,1555.14,1077936128,4,8,512,0.0,4303355904,0.0,0.25
1024,64,128,bf16,32,32,32,0.0,1310720,128,32,16,8.75819,524288,0.0,2.5
1024,64,256,bf16,32,32,32,10.3669,2621440,64,64,32,16.3636,1179648,1.58,2.22
