M,K,N,Data_Type,Baseline_m,Baseline_k,Baseline_n,Baseline_GOPS,Baseline_DDR_Bytes,Opt_m,Opt_k,Opt_n,Opt_GOPS,Opt_DDR_Bytes,Throughput_Speedup,DDR_Traffic_Reduction
128,64,1024,i16,32,32,32,5.89898,1572864,32,16,128,9.60538,1064960,1.63,1.48
128,64,2048,i16,32,32,32,12.3461,3145728,16,8,256,19.1612,3162112,1.55,0.99
128,64,4096,i16,32,32,32,24.2173,6291456,8,4,512,39.6488,10502144,1.64,0.6
128,128,128,i16,32,32,32,0.0,327680,64,64,16,2.58578,163840,0.0,2.0
128,128,256,i16,32,32,32,3.1289,655360,64,64,32,5.19523,294912,1.66,2.22
128,128,512,i16,32,32,32,6.48175,1310720,64,16,64,9.90825,557056,1.53,2.35
128,128,1024,i16,32,32,32,12.5904,2621440,32,16,128,17.601,1605632,1.4,1.63
128,128,2048,i16,32,32,32,23.5037,5242880,16,8,256,37.265,5275648,1.59,0.99
128,128,4096,i16,32,32,32,49.3835,10485760,8,4,512,76.4841,18907136,1.55,0.55
128,256,128,i16,32,32,32,0.0,589824,64,64,16,5.18779,262144,0.0,2.25
128,256,256,i16,32,32,32,6.21352,1179648,64,64,32,8.80514,458752,1.42,2.57
128,256,512,i16,32,32,32,12.1778,2359296,64,16,64,16.9106,851968,1.39,2.77
128,256,1024,i16,32,32,32,21.8249,4718592,32,16,128,35.2164,2686976,1.61,1.76
128,256,2048,i16,32,32,32,46.7087,9437184,16,8,256,65.7161,9502720,1.41,0.99
128,256,4096,i16,32,32,32,90.0344,18874368,8,4,512,131.445,35717120,1.46,0.53
128,512,128,i16,32,32,32,0.0,1114112,64,64,16,8.70367,458752,0.0,2.43
128,512,256,i16,32,32,32,11.0169,2228224,64,64,32,17.8745,786432,1.62,2.83
128,512,512,i16,32,32,32,22.4245,4456448,64,16,64,35.8319,1441792,1.6,3.09
128,512,1024,i16,32,32,32,48.6983,8912896,32,16,128,73.6983,4849664,1.51,1.84
128,512,2048,i16,32,32,32,98.7486,17825792,16,8,256,149.206,17956864,1.51,0.99
128,512,4096,i16,32,32,32,183.39,35651584,8,4,512,238.206,69337088,1.3,0.51
128,1024,128,i16,32,32,32,0.0,2162688,64,64,16,20.3866,851968,0.0,2.54
128,1024,256,i16,32,32,32,0.0,4325376,64,64,32,40.1319,1441792,0.0,3.0
128,1024,512,i16,32,32,32,47.5013,8650752,64,16,64,73.6802,2621440,1.55,3.3
128,1024,1024,i16,32,32,32,94.608,17301504,32,16,128,142.742,9175040,1.51,1.89
128,1024,2048,i16,32,32,32,178.99,34603008,16,8,256,260.737,34865152,1.46,0.99
128,1024,4096,i16,32,32,32,324.45,69206016,8,4,512,390.587,136577024,1.2,0.51
128,2048,128,i16,32,32,32,0.0,4259840,32,128,16,37.9789,2686976,0.0,1.59
128,2048,256,i16,32,32,32,47.6236,8519680,32,128,32,77.0154,4849664,1.62,1.76
128,2048,512,i16,32,32,32,95.4872,17039360,32,64,64,148.047,9175040,1.55,1.86
128,2048,1024,i16,32,32,32,181.962,34078720,32,16,128,267.033,17825792,1.47,1.91
128,2048,2048,i16,32,32,32,319.192,68157440,16,8,256,436.527,68681728,1.37,0.99
128,2048,4096,i16,32,32,32,573.955,136314880,8,4,512,563.997,271056896,0.98,0.5
128,4096,128,i16,32,32,32,0.0,8454144,32,128,16,73.5517,5308416,0.0,1.59
128,4096,256,i16,32,32,32,97.6548,16908288,32,128,32,148.071,9568256,1.52,1.77
128,4096,512,i16,32,32,32,188.769,33816576,32,64,64,296.93,18087936,1.57,1.87
128,4096,1024,i16,32,32,32,339.079,67633152,32,16,128,474.349,35127296,1.4,1.93
128,4096,2048,i16,32,32,32,558.566,135266304,16,8,256,653.905,136314880,1.17,0.99
128,4096,4096,i16,32,32,32,871.29,270532608,8,4,512,709.288,540016640,0.81,0.5
256,64,128,i16,32,32,32,0.0,393216,128,32,16,2.71209,196608,0.0,2.0
256,64,256,i16,32,32,32,3.28898,786432,128,16,32,5.5207,360448,1.68,2.18
256,64,512,i16,32,32,32,6.35486,1572864,64,16,64,10.6053,819200,1.67,1.92
256,64,1024,i16,32,32,32,12.3714,3145728,32,16,128,20.2338,2129920,1.64,1.48
